Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Arts & Humanities,Not applicable,Art,116,76,22,3.17 - 3.70,2.83 - 3.67,66%,29%,
Arts & Humanities,Not applicable,Art history,62,42,5,3.20 - 3.63,3.01 - 3.63,68%,12%,
Arts & Humanities,Not applicable,Film and digital media,257,157,38,3.07 - 3.70,2.90 - 3.37,61%,24%,
Arts & Humanities,Not applicable,History,201,144,30,2.98 - 3.60,2.74 - 3.14,72%,21%,
Arts & Humanities,Not applicable,Language studies,74,51,10,2.94 - 3.51,2.66 - 3.17,69%,20%,
Arts & Humanities,Not applicable,Linguistics,87,62,12,3.04 - 3.71,2.84 - 3.72,71%,19%,
Arts & Humanities,Not applicable,Literature,340,250,50,3.13 - 3.67,2.94 - 3.53,74%,20%,
Arts & Humanities,Not applicable,Music,32,19,6,3.17 - 3.60,2.73 - 3.52,59%,32%,
Arts & Humanities,Not applicable,Philosophy,139,93,21,3.16 - 3.58,2.96 - 3.36,67%,23%,
Arts & Humanities,Not applicable,Theater arts,59,32,11,2.94 - 3.60,2.80 - 3.28,54%,34%,
Business,Not applicable,Business management - economics,678,313,36,3.21 - 3.74,2.79 - 3.42,46%,12%,
Computer Science,Not applicable,Computer science,581,288,115,3.18 - 3.74,3.01 - 3.49,50%,40%,
Computer Science,Not applicable,Computer science: computer game design,139,56,33,3.10 - 3.62,2.98 - 3.50,40%,59%,
Computer Science,Not applicable,Technology and information management,30,11,3,3.15 - 3.56,masked,37%,27%,
Engineering,Not applicable,Bioengineering,110,39,9,3.23 - 3.72,2.97 - 3.36,35%,23%,
Engineering,Not applicable,Computer engineering,126,51,16,2.99 - 3.55,2.75 - 3.31,40%,31%,
Engineering,Not applicable,Electrical engineering,258,132,27,3.24 - 3.64,3.14 - 3.56,51%,20%,
Engineering,Not applicable,Robotics engineering bs,110,51,16,3.21 - 3.69,3.02 - 3.39,46%,31%,
Life Sciences,Not applicable,Biochemistry- molecular biology,179,85,20,3.11 - 3.63,2.94 - 3.36,47%,24%,
Life Sciences,Not applicable,Ecology & evolution,43,19,3,3.01 - 3.68,masked,44%,16%,
Life Sciences,Not applicable,Environmental studies,146,98,36,3.03 - 3.62,2.94 - 3.42,67%,37%,
Life Sciences,Not applicable,Environmental studies/biology,25,14,4,2.97 - 3.57,masked,56%,29%,
Life Sciences,Not applicable,Environmental studies/earth science,21,8,4,2.97 - 3.28,masked,38%,50%,
Life Sciences,Not applicable,Environmental studies/economics,35,23,6,3.05 - 3.57,2.96 - 3.26,66%,26%,
Life Sciences,Not applicable,Health sciences,127,66,20,3.04 - 3.51,2.94 - 3.36,52%,30%,
Life Sciences,Not applicable,Marine biology,80,36,18,2.93 - 3.38,2.90 - 3.15,45%,50%,
Life Sciences,Not applicable,"Molecular, cell, & developmental biology",85,54,11,3.02 - 3.57,2.79 - 3.03,64%,20%,
Life Sciences,Not applicable,Neuroscience,106,51,11,3.18 - 3.58,2.88 - 3.40,48%,22%,
Life Sciences,Not applicable,Plant science,20,9,3,3.17 - 3.80,masked,45%,33%,
Other/Interdisciplinary,Not applicable,Cognitive science,92,66,21,3.13 - 3.61,2.87 - 3.29,72%,32%,
Other/Interdisciplinary,Not applicable,Economics - mathematics,13,13,11,2.89 - 3.27,2.87 - 3.35,100%,85%,
Other/Interdisciplinary,Not applicable,Legal studies,50,33,15,2.93 - 3.47,2.76 - 3.14,66%,45%,
Physical Sciences/Math,Not applicable,Applied physics,6,5,5,2.97 - 3.37,2.97 - 3.37,83%,100%,
Physical Sciences/Math,Not applicable,Astrophysics,71,36,16,3.11 - 3.67,2.99 - 3.54,51%,44%,
Physical Sciences/Math,Not applicable,Chemistry,213,91,7,3.13 - 3.68,2.94 - 3.20,43%,8%,
Physical Sciences/Math,Not applicable,Earth science,67,47,11,3.08 - 3.50,3.04 - 3.19,70%,23%,
Physical Sciences/Math,Not applicable,Mathematics,232,171,32,3.16 - 3.72,2.87 - 3.59,74%,19%,
Physical Sciences/Math,Not applicable,Physics,103,50,8,3.09 - 3.71,2.55 - 3.12,49%,16%,
Public Admin,Not applicable,Community studies,121,83,21,3.16 - 3.61,2.57 - 3.64,69%,25%,
Social Sciences,Not applicable,Anthropology,292,196,55,3.10 - 3.67,2.90 - 3.49,67%,28%,
Social Sciences,Not applicable,Economics,578,338,29,3.24 - 3.73,2.82 - 3.46,58%,9%,
Social Sciences,Not applicable,Global economics,61,25,3,3.15 - 3.62,masked,41%,12%,
Social Sciences,Not applicable,Latin american & latino studies - sociology,10,6,3,2.93 - 3.37,masked,60%,50%,
Social Sciences,Not applicable,Politics,365,251,43,3.06 - 3.65,2.68 - 3.20,69%,17%,
Social Sciences,Not applicable,Psychology,913,335,97,3.09 - 3.66,2.92 - 3.53,37%,29%,
Social Sciences,Not applicable,Sociology,562,338,89,3.00 - 3.56,2.83 - 3.33,60%,26%,
Social Sciences,Not applicable,Women's studies,63,45,11,3.31 - 3.68,3.18 - 3.44,71%,24%,
Unknown,Not applicable,Invalid ccm combination,73,69,55,2.92 - 3.32,2.91 - 3.33,95%,80%,
