Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Arts & Humanities,Not applicable,Art,130,79,17,3.13 - 3.66,2.82 - 3.50,61%,22%,
Arts & Humanities,Not applicable,Art history,53,42,9,3.04 - 3.75,2.65 - 3.04,79%,21%,
Arts & Humanities,Not applicable,Film and digital media,230,145,39,3.08 - 3.68,2.85 - 3.33,63%,27%,
Arts & Humanities,Not applicable,History,202,139,33,3.01 - 3.61,2.78 - 3.42,69%,24%,
Arts & Humanities,Not applicable,Language studies,64,35,8,2.92 - 3.71,2.67 - 3.35,55%,23%,
Arts & Humanities,Not applicable,Linguistics,94,73,22,3.11 - 3.72,3.04 - 3.51,78%,30%,
Arts & Humanities,Not applicable,Literature,390,277,58,3.08 - 3.62,2.81 - 3.40,71%,21%,
Arts & Humanities,Not applicable,Music,51,33,10,3.11 - 3.57,3.17 - 3.54,65%,30%,
Arts & Humanities,Not applicable,Philosophy,190,134,19,3.12 - 3.64,2.68 - 3.32,71%,14%,
Arts & Humanities,Not applicable,Theater arts,71,43,5,3.07 - 3.69,2.94 - 3.73,61%,12%,
Business,Not applicable,Business management - economics,589,259,34,3.21 - 3.70,3.21 - 3.50,44%,13%,
Computer Science,Not applicable,Computer science,413,164,39,3.20 - 3.76,3.16 - 3.64,40%,24%,
Computer Science,Not applicable,Computer  science: computer game design,139,53,29,3.00 - 3.59,3.00 - 3.57,38%,55%,
Engineering,Not applicable,Bioengineering,106,34,6,3.18 - 3.70,2.71 - 3.19,32%,18%,
Engineering,Not applicable,Computer engineering,139,60,13,3.25 - 3.68,3.13 - 3.33,43%,22%,
Engineering,Not applicable,Electrical engineering,210,102,20,3.15 - 3.64,2.93 - 3.30,49%,20%,
Engineering,Not applicable,Robotics engineering bs,70,29,6,3.27 - 3.68,3.27 - 3.42,41%,21%,
Life Sciences,Not applicable,Biochemistry- molecular biology,164,107,28,3.15 - 3.72,2.86 - 3.43,65%,26%,
Life Sciences,Not applicable,Ecology & evolution,44,28,13,3.11 - 3.64,3.13 - 3.56,64%,46%,
Life Sciences,Not applicable,Environmental studies,141,101,43,2.96 - 3.63,2.81 - 3.54,72%,43%,
Life Sciences,Not applicable,Environmental studies/earth science,20,12,4,2.95 - 3.21,masked,60%,33%,
Life Sciences,Not applicable,Environmental studies/economics,29,16,4,3.20 - 3.52,masked,55%,25%,
Life Sciences,Not applicable,Health sciences,89,45,8,3.03 - 3.51,2.79 - 3.00,51%,18%,
Life Sciences,Not applicable,Marine biology,95,36,23,3.02 - 3.56,2.99 - 3.50,38%,64%,
Life Sciences,Not applicable,"Molecular, cell, & developmental biology",75,55,14,3.15 - 3.73,2.94 - 3.28,73%,25%,
Life Sciences,Not applicable,Neuroscience,97,54,14,3.15 - 3.55,2.83 - 3.33,56%,26%,
Other/Interdisciplinary,Not applicable,Cognitive science,80,57,19,3.12 - 3.67,2.95 - 3.47,71%,33%,
Other/Interdisciplinary,Not applicable,Economics - mathematics,12,11,10,2.79 - 3.26,2.80 - 3.30,92%,91%,
Other/Interdisciplinary,Not applicable,Legal studies,58,34,12,3.17 - 3.65,2.97 - 3.43,59%,35%,
Physical Sciences/Math,Not applicable,Applied physics,5,5,5,2.90 - 3.53,2.90 - 3.53,100%,100%,
Physical Sciences/Math,Not applicable,Astrophysics,65,45,17,3.01 - 3.55,2.94 - 3.36,69%,38%,
Physical Sciences/Math,Not applicable,Chemistry,242,160,25,3.02 - 3.64,2.73 - 3.15,66%,16%,
Physical Sciences/Math,Not applicable,Earth science,67,48,17,3.12 - 3.59,2.72 - 3.58,72%,35%,
Physical Sciences/Math,Not applicable,Mathematics,185,132,20,3.07 - 3.66,2.76 - 3.46,71%,15%,
Physical Sciences/Math,Not applicable,Physics,90,67,22,3.15 - 3.75,2.99 - 3.62,74%,33%,
Public Admin,Not applicable,Community studies,88,49,9,3.05 - 3.57,2.48 - 3.21,56%,18%,
Social Sciences,Not applicable,Anthropology,290,207,50,3.08 - 3.62,2.78 - 3.47,71%,24%,
Social Sciences,Not applicable,Economics,526,272,18,3.21 - 3.72,2.71 - 3.28,52%,7%,
Social Sciences,Not applicable,Global economics,53,19,3,3.21 - 3.60,masked,36%,16%,
Social Sciences,Not applicable,Latin american & latino studies,23,13,5,2.90 - 3.27,2.66 - 3.04,57%,38%,
Social Sciences,Not applicable,Politics,362,244,41,3.00 - 3.58,2.72 - 3.35,67%,17%,
Social Sciences,Not applicable,Psychology,861,300,87,3.12 - 3.62,3.00 - 3.47,35%,29%,
Social Sciences,Not applicable,Sociology,566,397,103,3.03 - 3.58,2.85 - 3.35,70%,26%,
Social Sciences,Not applicable,Women's studies,59,44,12,3.13 - 3.66,3.13 - 3.68,75%,27%,
Unknown,Not applicable,Invalid ccm combination,73,67,59,2.89 - 3.22,2.88 - 3.20,92%,88%,
