Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Arts & Humanities,Not applicable,Applied linguistics and multilingualism,13,11,6,2.82 - 3.37,2.82 - 3.28,85%,55%,
Arts & Humanities,Not applicable,Art,232,189,34,3.14 - 3.75,2.95 - 3.73,81%,18%,
Arts & Humanities,Not applicable,Art and design: games and playable media,118,40,31,3.26 - 3.78,3.26 - 3.78,34%,78%,
Arts & Humanities,Not applicable,Art history,69,58,7,3.10 - 3.73,2.85 - 3.79,84%,12%,
Arts & Humanities,Not applicable,Film and digital media,464,358,58,3.20 - 3.81,3.06 - 3.65,77%,16%,
Arts & Humanities,Not applicable,History,251,200,40,3.13 - 3.83,2.86 - 3.72,80%,20%,
Arts & Humanities,Not applicable,Linguistics,78,68,11,3.15 - 3.75,2.86 - 3.58,87%,16%,
Arts & Humanities,Not applicable,Literature,353,274,55,3.19 - 3.84,2.98 - 3.71,78%,20%,
Arts & Humanities,Not applicable,Music,67,47,7,3.16 - 3.81,3.51 - 4.00,70%,15%,
Arts & Humanities,Not applicable,Philosophy,136,107,14,3.07 - 3.79,2.97 - 3.48,79%,13%,
Arts & Humanities,Not applicable,Spanish studies,31,25,4,2.96 - 3.69,masked,81%,16%,
Arts & Humanities,Not applicable,Theater arts,85,61,11,3.32 - 3.87,3.38 - 3.85,72%,18%,
Business,Not applicable,Business management - economics,"1,107",703,65,3.29 - 3.85,3.02 - 3.76,64%,9%,
Computer Science,Not applicable,Computer science,"1,202",428,85,3.64 - 3.94,3.36 - 3.80,36%,20%,
Computer Science,Not applicable,Computer science: computer game design,172,95,47,3.28 - 3.85,3.13 - 3.65,55%,49%,
Computer Science,Not applicable,Technology and information management,54,25,12,3.12 - 3.80,3.40 - 3.83,46%,48%,
Education,Not applicable,"Education, democracy, and justice",8,7,7,2.92 - 3.53,2.92 - 3.53,88%,100%,
Engineering,Not applicable,Computer engineering,204,132,31,3.30 - 3.80,3.19 - 3.61,65%,23%,
Engineering,Not applicable,Electrical engineering,207,128,14,3.24 - 3.77,3.36 - 3.66,62%,11%,
Engineering,Not applicable,Robotics engineering bs,123,62,7,3.34 - 3.77,3.42 - 3.65,50%,11%,
Life Sciences,Not applicable,Biochemistry- molecular biology,134,77,4,3.27 - 3.83,masked,57%,5%,
Life Sciences,Not applicable,Biology,624,307,24,3.16 - 3.68,2.75 - 3.51,49%,8%,
Life Sciences,Not applicable,Biotechnology,5,3,3,masked,masked,60%,100%,
Life Sciences,Not applicable,Ecology & evolution,70,46,12,3.25 - 3.77,3.28 - 3.41,66%,26%,
Life Sciences,Not applicable,Environmental studies,143,52,21,3.01 - 3.68,3.02 - 3.63,36%,40%,
Life Sciences,Not applicable,Environmental studies/economics,16,5,3,3.20 - 3.36,masked,31%,60%,
Life Sciences,Not applicable,Health sciences,156,52,4,3.24 - 3.83,masked,33%,8%,
Life Sciences,Not applicable,Marine biology,139,71,24,3.07 - 3.56,2.97 - 3.35,51%,34%,
Life Sciences,Not applicable,"Molecular, cell, & developmental biology",84,65,7,3.13 - 3.80,3.10 - 3.76,77%,11%,
Life Sciences,Not applicable,Neuroscience,82,32,8,3.29 - 3.73,3.00 - 3.42,39%,25%,
Life Sciences,Not applicable,Plant science,39,17,5,3.35 - 3.72,3.34 - 3.51,44%,29%,
Other/Interdisciplinary,Not applicable,Agroecology,6,6,6,3.02 - 3.77,3.02 - 3.77,100%,100%,
Other/Interdisciplinary,Not applicable,Cognitive science,126,66,11,3.14 - 3.79,2.94 - 3.75,52%,17%,
Other/Interdisciplinary,Not applicable,Legal studies,145,112,20,3.04 - 3.69,2.79 - 3.20,77%,18%,
Physical Sciences/Math,Not applicable,Applied physics,6,6,4,3.09 - 3.61,masked,100%,67%,
Physical Sciences/Math,Not applicable,Astrophysics,76,45,13,3.25 - 3.77,3.04 - 3.52,59%,29%,
Physical Sciences/Math,Not applicable,Chemistry,127,65,7,3.23 - 3.74,3.24 - 3.65,51%,11%,
Physical Sciences/Math,Not applicable,Earth science,137,114,27,2.98 - 3.62,2.67 - 3.21,83%,24%,
Physical Sciences/Math,Not applicable,Mathematics,151,110,7,3.25 - 3.83,2.74 - 3.36,73%,6%,
Physical Sciences/Math,Not applicable,Physics,58,37,3,3.06 - 3.58,masked,64%,8%,
Public Admin,Not applicable,Community studies,145,123,16,3.04 - 3.72,2.82 - 3.55,85%,13%,
Social Sciences,Not applicable,Anthropology,239,198,45,3.20 - 3.79,3.05 - 3.67,83%,23%,
Social Sciences,Not applicable,Earth science/anthropology,15,14,10,3.06 - 3.49,3.06 - 3.28,93%,71%,
Social Sciences,Not applicable,Economics,536,415,35,3.23 - 3.75,2.94 - 3.71,77%,8%,
Social Sciences,Not applicable,Ethnic studies,52,40,8,3.04 - 3.83,3.04 - 3.70,77%,20%,
Social Sciences,Not applicable,Latin american & latino studies - sociology,6,4,3,masked,masked,67%,75%,
Social Sciences,Not applicable,Politics,450,374,41,3.12 - 3.80,2.85 - 3.63,83%,11%,
Social Sciences,Not applicable,Psychology,"1,391",692,166,3.22 - 3.86,3.07 - 3.79,50%,24%,
Social Sciences,Not applicable,Sociology,615,440,68,3.14 - 3.81,2.80 - 3.63,72%,15%,
Social Sciences,Not applicable,Women's studies,46,42,7,2.95 - 3.80,2.81 - 3.69,91%,17%,
Undeclared,Not applicable,Undeclared,247,122,21,3.21 - 3.81,3.07 - 3.56,49%,17%,
Unknown,Not applicable,Invalid ccm combination,408,164,20,3.32 - 3.89,3.22 - 3.67,40%,12%,
